SA2_CODE,SA2_NAME,IRSAD_SCORE,IRSAD_DECILE
101021007,Braidwood,1001.0,6.0
101021008,Karabar,982.0,5.0
101021009,Queanbeyan,998.0,6.0
101021010,Queanbeyan - East,1015.0,6.0
101021012,Queanbeyan West - Jerrabomberra,1107.0,9.0
101021610,Googong,1154.0,10.0
101021611,Queanbeyan Surrounds,1105.0,9.0
101031013,Bombala,935.0,3.0
101031014,Cooma,953.0,4.0
101031015,Cooma Surrounds,1007.0,6.0
101031016,Jindabyne - Berridale,1025.0,7.0
101041017,Batemans Bay,909.0,2.0
101041018,Batemans Bay - South,954.0,4.0
101041019,Bega - Tathra,942.0,3.0
101041020,Bega-Eden Hinterland,954.0,4.0
101041021,Broulee - Tomakin,1002.0,6.0
101041022,Deua - Wadbilliga,929.0,3.0
101041023,Eden,880.0,1.0
101041024,Eurobodalla Hinterland,954.0,4.0
101041025,Merimbula - Tura Beach,970.0,4.0
101041026,Moruya - Tuross Head,949.0,3.0
101041027,Narooma - Bermagui,946.0,3.0
101051539,Goulburn,933.0,3.0
101051540,Goulburn Surrounds,987.0,5.0
101061541,Yass,992.0,5.0
101061542,Yass Surrounds,1092.0,9.0
101061543,Young,912.0,2.0
101061544,Young Surrounds,948.0,3.0
102011028,Avoca Beach - Copacabana,1084.0,9.0
102011029,Box Head - MacMasters Beach,1051.0,8.0
102011030,Calga - Kulnura,1021.0,6.0
102011031,Erina - Green Point,1028.0,7.0
102011032,Gosford - Springfield,986.0,5.0
102011033,Kariong,1012.0,6.0
102011034,Kincumber - Picketts Valley,992.0,5.0
102011035,Narara,1006.0,6.0
102011036,Niagara Park - Lisarow,1024.0,7.0
102011037,Point Clare - Koolewong,1025.0,7.0
102011038,Saratoga - Davistown,1028.0,7.0
102011039,Terrigal - North Avoca,1085.0,9.0
102011040,Umina - Booker Bay - Patonga,965.0,4.0
102011041,Wamberal - Forresters Beach,1077.0,9.0
102011042,Woy Woy - Blackwall,946.0,3.0
102011043,Wyoming,959.0,4.0
102021044,Bateau Bay - Killarney Vale,966.0,4.0
102021045,Blue Haven - San Remo,886.0,1.0
102021046,Budgewoi - Buff Point - Halekula,918.0,2.0
102021047,Chittaway Bay - Tumbi Umbi,988.0,5.0
102021048,Gorokan - Kanwal - Charmhaven,891.0,1.0
102021049,Jilliby - Yarramalong,1060.0,8.0
102021050,Lake Munmorah - Mannering Park,906.0,2.0
102021051,Ourimbah - Fountaindale,1031.0,7.0
102021052,Summerland Point - Gwandalan,935.0,3.0
102021053,The Entrance,935.0,3.0
102021054,Toukley - Norah Head,914.0,2.0
102021055,Tuggerah - Kangy Angy,996.0,5.0
102021056,Warnervale - Wadalba,992.0,5.0
102021057,Wyong,892.0,1.0
103011059,Bathurst - East,957.0,4.0
103011060,Bathurst Surrounds,1019.0,6.0
103011061,Oberon,934.0,3.0
103011612,Bathurst - South,929.0,3.0
103011613,Bathurst - West,982.0,5.0
103021062,Condobolin,934.0,3.0
103021063,Cowra,890.0,1.0
103021064,Cowra Surrounds,949.0,3.0
103021065,Forbes,940.0,3.0
103021066,Grenfell,942.0,3.0
103021067,Parkes (NSW),918.0,2.0
103021068,Parkes Surrounds,940.0,3.0
103021069,West Wyalong,958.0,4.0
103031070,Lithgow,892.0,1.0
103031071,Lithgow Surrounds,940.0,3.0
103031072,Mudgee,960.0,4.0
103031073,Mudgee Surrounds - East,885.0,1.0
103031074,Mudgee Surrounds - West,953.0,4.0
103041076,Blayney,963.0,4.0
103041077,Orange,942.0,3.0
103041078,Orange - North,1005.0,6.0
103041079,Orange Surrounds,1020.0,6.0
104011080,Grafton,884.0,1.0
104011081,Grafton Surrounds,916.0,2.0
104011082,Maclean - Yamba - Iluka,933.0,3.0
104021083,Bellingen,979.0,5.0
104021084,Coffs Harbour - North,928.0,3.0
104021085,Coffs Harbour - South,925.0,2.0
104021086,Coramba - Nana Glen - Bucca,982.0,5.0
104021087,Dorrigo,928.0,3.0
104021088,Korora - Emerald Beach,1034.0,7.0
104021089,Sawtell - Boambee,949.0,3.0
104021090,Urunga,939.0,3.0
104021091,Woolgoolga - Arrawarra,956.0,4.0
105011092,Bourke - Brewarrina,929.0,3.0
105011093,Cobar,937.0,3.0
105011094,Coonamble,902.0,2.0
105011095,Nyngan - Warren,939.0,3.0
105011096,Walgett - Lightning Ridge,894.0,2.0
105021097,Broken Hill,892.0,1.0
105021098,Far West,909.0,2.0
105031099,Coonabarabran,911.0,2.0
105031100,Dubbo - East,946.0,3.0
105031101,Dubbo - South,974.0,5.0
105031102,Dubbo - West,953.0,4.0
105031103,Dubbo Surrounds,1009.0,6.0
105031104,Gilgandra,916.0,2.0
105031105,Narromine,936.0,3.0
105031106,Wellington,907.0,2.0
106011107,Branxton - Greta - Pokolbin,990.0,5.0
106011108,Cessnock,869.0,1.0
106011109,Cessnock Surrounds,968.0,4.0
106011110,Dungog,974.0,5.0
106011111,Kurri Kurri - Abermain,889.0,1.0
106011112,Singleton,948.0,3.0
106011113,Singleton Surrounds,980.0,5.0
106021114,Maitland,964.0,4.0
106021116,Maitland - North,1044.0,7.0
106021614,East Maitland - Metford,956.0,4.0
106021615,Rutherford (North) - Aberglassly,955.0,4.0
106021616,Rutherford (South) - Telarah,893.0,2.0
106021617,Tenambit - East Maitland,953.0,4.0
106021618,Thornton - Millers Forest,1007.0,6.0
106031119,Anna Bay,967.0,4.0
106031120,Lemon Tree Passage - Tanilba Bay,897.0,2.0
106031121,Nelson Bay Peninsula,973.0,5.0
106031122,Raymond Terrace,872.0,1.0
106031123,Seaham - Woodville,1030.0,7.0
106031124,Tea Gardens - Hawks Nest,955.0,4.0
106031125,Williamtown - Medowie - Karuah,973.0,4.0
106041126,Muswellbrook,891.0,1.0
106041127,Muswellbrook Surrounds,959.0,4.0
106041128,Scone,947.0,3.0
106041129,Scone Surrounds,941.0,3.0
107011131,Dapto - Avondale,940.0,3.0
107011132,Horsley - Kembla Grange,1027.0,7.0
107011134,Unanderra - Mount Kembla,1003.0,6.0
107011545,Berkeley - Lake Heights - Cringi,885.0,1.0
107011546,Port Kembla - Warrawong,870.0,1.0
107011547,Windang - Primbee,912.0,2.0
107031136,Albion Park - Macquarie Pass,1000.0,6.0
107031137,Albion Park Rail,900.0,2.0
107031138,Kiama,1052.0,8.0
107031139,Kiama Downs - Minnamurra,1061.0,8.0
107031140,Kiama Hinterland - Gerringong,1071.0,8.0
107031141,Shellharbour - Flinders,1034.0,7.0
107031142,Shellharbour - Oak Flats,957.0,4.0
107031143,Warilla,883.0,1.0
107041144,Balgownie - Fairy Meadow,1012.0,6.0
107041145,Corrimal - Tarrawanna - Bellambi,964.0,4.0
107041146,Figtree - Keiraville,1045.0,7.0
107041147,Helensburgh,1083.0,9.0
107041148,Thirroul - Austinmer - Coalcliff,1114.0,10.0
107041150,Woonona - Bulli - Russell Vale,1042.0,7.0
107041548,Wollongong - East,1035.0,7.0
107041549,Wollongong - West,1009.0,6.0
108011151,Bulahdelah - Stroud,915.0,2.0
108011152,Forster,920.0,2.0
108011153,Forster-Tuncurry Surrounds,937.0,3.0
108011154,Tuncurry,876.0,1.0
108021155,Kempsey,845.0,1.0
108021156,Kempsey Surrounds,915.0,2.0
108021157,Macksville - Scotts Head,902.0,2.0
108021158,Nambucca Heads,863.0,1.0
108021159,Nambucca Heads Surrounds,925.0,2.0
108021160,South West Rocks,918.0,2.0
108031161,Lord Howe Island,1014.0,6.0
108041162,Laurieton - Bonny Hills,942.0,3.0
108041164,Port Macquarie - West,943.0,3.0
108041165,Port Macquarie Surrounds,960.0,4.0
108041166,Wauchope,931.0,3.0
108041619,Port Macquarie - East,990.0,5.0
108041620,Port Macquarie - South,994.0,5.0
108051167,Gloucester,913.0,2.0
108051168,Old Bar - Manning Point - Red He,973.0,4.0
108051169,Taree,861.0,1.0
108051170,Taree Surrounds,925.0,2.0
108051171,Wingham,872.0,1.0
109011172,Albury - East,1008.0,6.0
109011173,Albury - North,910.0,2.0
109011174,Albury - South,988.0,5.0
109011175,Albury Surrounds,979.0,5.0
109011176,Lavington,872.0,1.0
109021177,Hay,927.0,3.0
109021178,Wentworth - Buronga,945.0,3.0
109021179,Wentworth-Balranald Region,945.0,3.0
109031180,Corowa,906.0,2.0
109031181,Corowa Surrounds,942.0,3.0
109031182,Deniliquin,922.0,2.0
109031183,Deniliquin Surrounds,964.0,4.0
109031184,Moama,979.0,5.0
109031185,Tocumwal - Finley - Jerilderie,931.0,3.0
110011186,Armidale,977.0,5.0
110011187,Armidale Surrounds - North,960.0,4.0
110011188,Armidale Surrounds - South,979.0,5.0
110011189,Walcha,972.0,4.0
110021190,Glen Innes,891.0,1.0
110021191,Inverell,896.0,2.0
110021192,Inverell Surrounds - East,910.0,2.0
110021193,Inverell Surrounds - West,933.0,3.0
110021194,Tenterfield,903.0,2.0
110031195,Moree,914.0,2.0
110031196,Moree Surrounds,969.0,4.0
110031197,Narrabri,936.0,3.0
110031198,Narrabri Surrounds,950.0,4.0
110041199,Gunnedah,925.0,2.0
110041200,Gunnedah Surrounds,957.0,4.0
