SA3_NAME21,SA3_CODE21,SA3_CODE_2011,year,total_persons,overseas_born,overseas_born_pct,diversity_simpson,recent_arrivals_2007_2011,new_arrivals_share,recent_arrivals_rate
,10101,10101,2011,67499,5439,8.057897154,0.819382233,1593,29.28847215,2.360034963
Queanbeyan,10102,10102,2011,53512,9214,17.2185678,0.892892343,4224,45.84328196,7.893556585
Snowy Mountains,10103,10103,2011,18930,2358,12.45641838,0.842115089,591,25.06361323,3.122028526
South Coast,10104,10104,2011,67881,8626,12.7075323,0.758888589,1188,13.77231625,1.750121536
Gosford,10201,10201,2011,163111,25697,15.75430228,0.788883594,7542,29.34972954,4.623845112
Wyong,10202,10202,2011,149077,17892,12.00185139,0.79222978,3513,19.63447351,2.356500332
Bathurst,10301,10301,2011,43554,3667,8.419433347,0.848977187,1191,32.47886556,2.734536438
Lachlan Valley,10302,10302,2011,54795,2574,4.697508897,0.83448676,1020,39.62703963,1.861483712
Lithgow - Mudgee,10303,10303,2011,43919,3694,8.410938318,0.813832349,780,21.11532214,1.775996721
Orange,10304,10304,2011,54470,4257,7.81531118,0.862938071,1758,41.29668781,3.227464659
Clarence Valley,10401,10401,2011,49238,3573,7.256590438,0.770895533,738,20.65491184,1.498842358
Coffs Harbour,10402,10402,2011,81362,10363,12.73690421,0.816693521,4476,43.19212583,5.501339692
Bourke - Cobar - Coonamble,10501,10501,2011,25293,1463,5.78420907,0.875862059,963,65.82365003,3.807377535
Broken Hill and Far West,10502,10502,2011,21203,983,4.636136396,0.877917476,468,47.6093591,2.207234825
Dubbo,10503,10503,2011,67098,3471,5.173030493,0.870752361,1449,41.74589455,2.159527855
Lower Hunter,10601,10601,2011,81987,5619,6.853525559,0.811402444,1920,34.1697811,2.341834681
Maitland,10602,10602,2011,64207,4902,7.634681577,0.846622025,1968,40.14687882,3.065086361
Port Stephens,10603,10603,2011,67503,7512,11.12839429,0.77292966,2151,28.6341853,3.186525043
Upper Hunter,10604,10604,2011,29547,2063,6.982096321,0.843193642,1494,72.41880756,5.056350899
Dapto - Port Kembla,10701,10701,2011,71918,15843,22.02925554,0.859151476,2007,12.66805529,2.790678272
Illawarra Catchment Reserve,10702,10702,2011,12,0,0,,0,,0
Kiama - Shellharbour,10703,10703,2011,83532,14037,16.80433846,0.799921674,2427,17.29001923,2.905473352
Wollongong,10704,10704,2011,120524,25946,21.52766254,0.892321157,15984,61.60487166,13.26208888
Great Lakes,10801,10801,2011,29848,2924,9.79630126,0.764374178,324,11.08071135,1.085499866
Kempsey - Nambucca,10802,10802,2011,46828,3741,7.988810114,0.754760333,600,16.03849238,1.281284701
Lord Howe Island,10803,10803,2011,360,41,11.38888889,0.698393813,18,43.90243902,5
Port Macquarie,10804,10804,2011,72711,8028,11.04097042,0.738927735,1806,22.49626308,2.483805752
Taree - Gloucester,10805,10805,2011,51359,4193,8.164099768,0.766134761,846,20.17648462,1.647228334
Albury,10901,10901,2011,57438,5432,9.457153801,0.857393513,3177,58.48674521,5.531181448
Lower Murray,10902,10902,2011,12424,744,5.98840953,0.862538299,324,43.5483871,2.607855763
Upper Murray exc. Albury,10903,10903,2011,40457,2633,6.50814445,0.791735213,759,28.82643373,1.876065947
Armidale,11001,11001,2011,35945,3452,9.603560996,0.858813605,2736,79.25840093,7.611628877
Inverell - Tenterfield,11002,11002,2011,37761,2269,6.008845105,0.820207829,801,35.30189511,2.121236196
Moree - Narrabri,11003,11003,2011,25687,1126,4.383540312,0.891222801,684,60.74600355,2.662825554
Tamworth - Gunnedah,11004,11004,2011,76805,3832,4.989258512,0.832893042,1497,39.065762,1.949091856
Lake Macquarie - East,11101,11101,2011,116868,10981,9.396070781,0.842968799,3483,31.71842273,2.98028545
Lake Macquarie - West,11102,11102,2011,70005,7079,10.11213485,0.813359075,1752,24.74925837,2.50267838
Newcastle,11103,11103,2011,155737,19052,12.23344485,0.896644917,12414,65.15851354,7.971130817
Richmond Valley - Coastal,11201,11201,2011,73228,9679,13.21762167,0.810252434,3327,34.37338568,4.543344076
Richmond Valley - Hinterland,11202,11202,2011,69286,5698,8.223883613,0.831113883,1722,30.22113022,2.485350576
Tweed Valley,11203,11203,2011,85105,12664,14.88044181,0.7624014,3996,31.55401137,4.6953763
Griffith - Murrumbidgee (West),11301,11301,2011,46594,5631,12.08524703,0.85635184,3570,63.39904102,7.661930721
Tumut - Tumbarumba,11302,11302,2011,14327,1208,8.431632582,0.863577804,618,51.1589404,4.313533887
Wagga Wagga,11303,11303,2011,89194,6135,6.878265354,0.868023824,4035,65.77017115,4.523846896
Shoalhaven,11401,11401,2011,92621,11692,12.62348711,0.753677304,1827,15.62606911,1.97255482
Southern Highlands,11402,11402,2011,44386,6710,15.11737935,0.754777952,1116,16.6318927,2.514306313
Baulkham Hills,11501,11501,2011,133822,46741,34.92773983,0.923220245,16593,35.49988233,12.39930654
Dural - Wisemans Ferry,11502,11502,2011,25336,5411,21.35696243,0.88738598,1353,25.00462022,5.340227344
Hawkesbury,11503,11503,2011,24074,2850,11.83849796,0.795022222,387,13.57894737,1.607543408
Rouse Hill - McGraths Hill,11504,11504,2011,27181,6275,23.08597918,0.912370127,1845,29.40239044,6.787829734
Blacktown,11601,11601,2011,125022,49067,39.24669258,0.898431415,24456,49.8420527,19.5613572
Blacktown - North,11602,11602,2011,74777,26800,35.83989729,0.894767768,10788,40.25373134,14.42689597
Mount Druitt,11603,11603,2011,103728,38347,36.96880302,0.850800903,16068,41.90158291,15.49051365
Botany,11701,11701,2011,39357,16507,41.94171304,0.883774952,7539,45.67153329,19.15542343
Marrickville - Sydenham - Petersham,11702,11702,2011,50613,17625,34.82306917,0.899580414,8184,46.43404255,16.16975876
Sydney Inner City,11703,11703,2011,174572,71987,41.23628073,0.909000994,75132,104.3688444,43.03782966
Eastern Suburbs - North,11801,11801,2011,120557,41577,34.48742089,0.860097103,28077,67.53012483,23.28939838
Eastern Suburbs - South,11802,11802,2011,128990,49214,38.15334522,0.903426756,39240,79.73340919,30.42096287
Bankstown,11901,11901,2011,159072,58414,36.72173607,0.891785791,17718,30.33176978,11.13835244
Canterbury,11902,11902,2011,125426,61101,48.71478003,0.87977786,31080,50.86659793,24.77955129
Hurstville,11903,11903,2011,116603,47562,40.78968809,0.84497727,23253,48.88987006,19.94202551
Kogarah - Rockdale,11904,11904,2011,122500,53559,43.72163265,0.89617411,26979,50.37248642,22.02367347
Canada Bay,12001,12001,2011,74156,25631,34.56362263,0.913680731,12624,49.25285787,17.02357193
Leichhardt,12002,12002,2011,52197,14755,28.26790812,0.860173857,7938,53.7987123,15.20777056
Strathfield - Burwood - Ashfield,12003,12003,2011,137207,64342,46.8941089,0.898985051,43161,67.08060054,31.45684987
Chatswood - Lane Cove,12101,12101,2011,100198,38013,37.93788299,0.907094426,25440,66.92447321,25.38972834
Hornsby,12102,12102,2011,76536,25661,33.52801296,0.898250937,13911,54.21066989,18.17576043
Ku-ring-gai,12103,12103,2011,109578,38214,34.87378853,0.897829382,17565,45.96482964,16.02967749
North Sydney - Mosman,12104,12104,2011,88355,29656,33.56459736,0.874826443,23802,80.26031832,26.93905269
Manly,12201,12201,2011,39747,13052,32.83769844,0.802428972,11421,87.50383083,28.73424409
Pittwater,12202,12202,2011,57155,12884,22.54220978,0.789062791,4368,33.90251475,7.642375995
Warringah,12203,12203,2011,140741,39044,27.74173837,0.860769351,18441,47.23132876,13.10279165
Camden,12301,12301,2011,52233,7886,15.09773515,0.825393869,2061,26.13492265,3.945781403
Campbelltown (NSW),12302,12302,2011,147164,41371,28.11217417,0.874837854,13305,32.16020884,9.040933924
Wollondilly,12303,12303,2011,36402,4512,12.39492336,0.783305394,612,13.56382979,1.681226306
