SA3_NAME21,SA3_CODE21,SA3_CODE_2016,year,total_persons,overseas_born,diversity_simpson,recent_arrivals_2012_2016,overseas_born_pct,new_arrivals_share,recent_arrivals_rate
Queanbeyan,10102,10102,2016,57331,9731,0.927104352,1371,16.9733652,14.08899394,2.391376393
Snowy Mountains,10103,10103,2016,19366,2477,0.891782599,196,12.7904575,7.912797739,1.012083032
South Coast,10104,10104,2016,70638,8786,0.831063367,380,12.4380645,4.3250626,0.537954076
Goulburn - Mulwaree,10105,10105,2016,35559,3296,0.903314513,407,9.269102056,12.34830097,1.144576619
Young - Yass,10106,10106,2016,35942,2898,0.867702721,224,8.062990373,7.729468599,0.623226309
Gosford,10201,10201,2016,169053,28754,0.867069394,2475,17.00886704,8.607498087,1.464037905
Wyong,10202,10202,2016,158683,19200,0.869036713,1258,12.09959479,6.552083333,0.792775534
Bathurst,10301,10301,2016,46594,4019,0.907449258,482,8.625574108,11.99303309,1.034467957
Lachlan Valley,10302,10302,2016,55336,2804,0.903263323,373,5.067225676,13.30242511,0.674063901
Lithgow - Mudgee,10303,10303,2016,46612,3806,0.877955514,255,8.165279327,6.699947451,0.547069424
Orange,10304,10304,2016,57614,4817,0.915478271,745,8.36081508,15.46605771,1.293088485
Clarence Valley,10401,10401,2016,50261,3787,0.849556552,279,7.534669028,7.367309216,0.555102366
Coffs Harbour,10402,10402,2016,86021,11658,0.888394278,1790,13.55250462,15.35426317,2.080887225
Bourke - Cobar - Coonamble,10501,10501,2016,24152,1332,0.919124079,200,5.515071216,15.01501502,0.828088771
Broken Hill and Far West,10502,10502,2016,20217,889,0.907881734,132,4.39728941,14.84814398,0.652915863
Dubbo,10503,10503,2016,69414,4509,0.929223881,829,6.495807762,18.38545132,1.194283574
Lower Hunter,10601,10601,2016,87675,5742,0.872143831,459,6.54918734,7.993730408,0.52352438
Maitland,10602,10602,2016,74162,5895,0.905560973,669,7.948814757,11.34860051,0.902079232
Port Stephens,10603,10603,2016,71381,7998,0.847473402,500,11.20466231,6.251562891,0.700466511
Upper Hunter,10604,10604,2016,30196,2333,0.906230864,473,7.726188899,20.2743249,1.56643264
Dapto - Port Kembla,10701,10701,2016,75354,15475,0.899208101,999,20.53640152,6.455573506,1.325742495
Illawarra Catchment Reserve,10702,10702,2016,8,0,,0,0,,0
Kiama - Shellharbour,10703,10703,2016,89837,14262,0.875952459,732,15.87541881,5.132519983,0.814809043
Wollongong,10704,10704,2016,128301,27934,0.930140325,6234,21.77223872,22.31688981,4.858886525
Great Lakes,10801,10801,2016,31272,3146,0.829374954,160,10.06011768,5.085823268,0.511639806
Kempsey - Nambucca,10802,10802,2016,48127,3790,0.845680829,269,7.874997403,7.09762533,0.55893781
Lord Howe Island,10803,10803,2016,382,49,0.814660558,6,12.82722513,12.24489796,1.570680628
Port Macquarie,10804,10804,2016,78567,8906,0.835565503,652,11.335548,7.320907254,0.829864956
Taree - Gloucester,10805,10805,2016,53856,4523,0.836636526,224,8.39832145,4.952465178,0.415923945
Albury,10901,10901,2016,61271,6107,0.909263165,958,9.967194921,15.68691665,1.56354556
Lower Murray,10902,10902,2016,12547,720,0.896886574,103,5.738423528,14.30555556,0.820913366
Upper Murray exc. Albury,10903,10903,2016,41980,2915,0.883423706,430,6.943782754,14.75128645,1.024297284
Armidale,11001,11001,2016,37090,4113,0.918906087,1184,11.08924238,28.78677364,3.192235104
Inverell - Tenterfield,11002,11002,2016,38345,2376,0.879928635,270,6.196375016,11.36363636,0.704133525
Moree - Narrabri,11003,11003,2016,25622,1204,0.927680158,220,4.699086722,18.27242525,0.858637109
Tamworth - Gunnedah,11004,11004,2016,80496,4994,0.918968922,1126,6.204034983,22.54705647,1.398827271
Lake Macquarie - East,11101,11101,2016,120014,11504,0.902055172,1042,9.585548353,9.057719054,0.86823204
Lake Macquarie - West,11102,11102,2016,75205,7880,0.883682587,606,10.47802673,7.69035533,0.805797487
Newcastle,11103,11103,2016,163884,22285,0.935455632,5205,13.59803275,23.35651784,3.176026946
Richmond Valley - Coastal,11201,11201,2016,78280,10548,0.867473398,1108,13.47470618,10.50436102,1.415431783
Richmond Valley - Hinterland,11202,11202,2016,69950,5855,0.884419004,451,8.370264475,7.702818104,0.644746247
Tweed Valley,11203,11203,2016,91371,13269,0.839028223,1040,14.52211314,7.837817469,1.138216721
Griffith - Murrumbidgee (West),11301,11301,2016,48144,6418,0.898109487,1425,13.33084081,22.20317856,2.959870389
Tumut - Tumbarumba,11302,11302,2016,14437,1218,0.905332169,152,8.436655815,12.47947455,1.052850315
Wagga Wagga,11303,11303,2016,93357,7495,0.928637807,1810,8.02832139,24.14943296,1.938794091
Shoalhaven,11401,11401,2016,99490,12683,0.838444939,719,12.74801488,5.669005756,0.722685697
Southern Highlands,11402,11402,2016,47869,7579,0.84905676,568,15.83279367,7.4943924,1.186571685
Baulkham Hills,11501,11501,2016,143738,55854,0.933853851,6475,38.85820034,11.59272389,4.504723873
Dural - Wisemans Ferry,11502,11502,2016,26229,5602,0.925548916,355,21.35803881,6.337022492,1.353463723
Hawkesbury,11503,11503,2016,24588,2779,0.852791091,98,11.30226127,3.526448363,0.398568407
Rouse Hill - McGraths Hill,11504,11504,2016,33182,8524,0.941255606,906,25.68862636,10.62881276,2.730395998
Blacktown,11601,11601,2016,134753,57422,0.906152925,9229,42.61278042,16.07223712,6.848827113
Blacktown - North,11602,11602,2016,92823,36405,0.897048675,4290,39.21980544,11.78409559,4.621699363
Mount Druitt,11603,11603,2016,112066,43444,0.893743651,5746,38.7664412,13.22622226,5.127335677
Botany,11701,11701,2016,46693,20615,0.933174235,4278,44.15008674,20.7518797,9.161972887
Marrickville - Sydenham - Petersham,11702,11702,2016,54609,18045,0.932244163,2891,33.04400374,16.02105846,5.293999158
Sydney Inner City,11703,11703,2016,214249,101178,0.917245439,40925,47.22449113,40.44851648,19.10160608
Eastern Suburbs - North,11801,11801,2016,126382,45265,0.89214314,10359,35.8160181,22.88523142,8.196578627
Eastern Suburbs - South,11802,11802,2016,140654,57479,0.919766425,17277,40.86552818,30.0579342,12.28333357
Bankstown,11901,11901,2016,171429,66626,0.90705494,7915,38.8650695,11.87974665,4.617071791
Canterbury,11902,11902,2016,135070,67538,0.92853345,12860,50.00222107,19.0411324,9.520989117
Hurstville,11903,11903,2016,127193,57647,0.832998312,11022,45.32246271,19.11981543,8.665571219
Kogarah - Rockdale,11904,11904,2016,137723,64812,0.924631315,13861,47.05967776,21.38647164,10.06440464
Canada Bay,12001,12001,2016,85356,33491,0.903603514,6571,39.23684334,19.62019647,7.698345752
Leichhardt,12002,12002,2016,56066,15655,0.90298315,2397,27.92244854,15.31140211,4.275318375
Strathfield - Burwood - Ashfield,12003,12003,2016,151873,75796,0.909598226,19216,49.90748849,25.35226133,12.65267691
Chatswood - Lane Cove,12101,12101,2016,112245,47891,0.924225259,10572,42.66648849,22.07512894,9.418682347
Hornsby,12102,12102,2016,80603,30073,0.923013294,4995,37.31002568,16.60958335,6.197039812
Ku-ring-gai,12103,12103,2016,118371,45990,0.916615424,6458,38.85242162,14.04218308,5.455728177
North Sydney - Mosman,12104,12104,2016,94139,34037,0.920072925,7715,36.15610958,22.66650997,8.195328185
